穿,chuān,wear (clothes)
戴,dài,wear (accessories)
格子,gé zi,checkered
皮,pí,leather
条子,tiáo zi,stripe
短,duǎn,short
长,cháng,long
衣,yī,clothes
衬衫,chèn shān,shirt
汗衫,hàn shān,t-shirt
袖,xiù,sleeve
大衣,dà yī,overcoat
毛衣,mào yi,woolen sweater
外套,wai tao,outer garments
裤,kù,leg clothes
牛仔裤,niú zǎi kù,jeans
裙子,qún,skirt
鞋,xié,shoe
运动鞋,yùn dòng xié,sport shoes
袜子,wà zi,socks
校服,xiao fu,school uniform
连衣裙,lian yi qun,dress
西装,xi zhuang,suit
套装,tao zhuang,womens suit
带,dai,belt
领带,ling dai,tie
帽子,mao zi,hat
围巾,wei jin,scarf
手套,shou tao,gloves
运动,yun dong,sports
领,ling,neck
小姐,xiao jie,miss
脚,jiao,foot
呢子,ni zi,woolen cloth
